id,grupo,classe,ordem,familia,subfamilia,tribo,genero,binomio,binomio_autor,nome_comum,dieta,locomocao,distribuicao_estado,distribuicao,endemismo,iucn_2025,iucn_rationale,cites_2025,salve_2023,mma_2022,copam_2010,iema_2022,semil_2018,sedest_2024,consema_ma_2025,sema_ba_2017,consema_sc_2011,gov_rs_2014,sema_ce_2022,foto_inat,link_inat
11,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Didelphini,Philander,Philander canus,"Philander canus (Osgood, 1913)",cuíca-de-quatro-olhos,In/On,Sc,"Acre, Amazonas, Goiás, Mato Grosso, Mato Grosso do Sul, Pará, Rondônia, Tocantins","Amazônia, Cerrado, Pantanal",Amazônia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/281971437/medium.jpeg,https://www.inaturalist.org/taxa/1093925
12,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Didelphini,Philander,Philander mcilhennyi,"Philander mcilhennyi Gardner & Patton, 1972",cuíca-de-quatro-olhos,In/On,Sc,"Acre, Amazonas, Rondônia",Amazônia,"Brasil, Mata Atlântica",LC,"Esta espécie está listada como Preocupação Menor devido à sua ampla distribuição, presumida grande população, ocorrência em várias áreas protegidas e porque é improvável que esteja em declínio próximo à taxa necessária para se qualificar para a inclusão em uma categoria ameaçada.",-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/241579564/medium.jpg,https://www.inaturalist.org/taxa/42584
13,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Didelphini,Philander,Philander opossum,"Philander opossum (Linnaeus, 1758)",cuíca-de-quatro-olhos,In/On,Sc,"Amapá, Amazonas, Maranhão, Pará, Roraima",Amazônia,Amazônia,LC,"Esta espécie está listada como Preocupação Menor devido à sua ampla distribuição, presumida grande população, ocorrência em várias áreas protegidas, tolerância a algum grau de modificação do habitat e porque é improvável que esteja diminuindo em ritmo próximo ao necessário para se qualificar para a inclusão em uma categoria ameaçada.",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/2079757/medium.JPG,https://www.inaturalist.org/taxa/1490570
14,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Didelphini,Philander,Philander pebas,"Philander pebas Voss, Díaz-Nieto & Jansa, 2018",cuíca-de-quatro-olhos,In/On,Sc,"Acre, Amazonas",Amazônia,"Brasil, Amazônia",-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/98232366/medium.jpg,https://www.inaturalist.org/taxa/1136812
15,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Didelphini,Philander,Philander quica,"Philander quica (Temminck, 1824)","cuíca-de-quatro-olhos, gambá-cinza-de-quatro-olhos, cuíca-verdadeira",In/On,Sc,"Bahia, Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo",Mata Atlântica,Amazônia,-,-,-,-,-,-,-,-,LC,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/92111578/medium.jpg,https://www.inaturalist.org/taxa/1157675
16,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Marmosa,Marmosa macrotarsus,"Marmosa (Marmosa) macrotarsus (Wagner, 1842)",cuíca,In/On,Sc,"Acre, Amazonas, Mato Grosso, Pará",Amazônia,"Brasil, Amazônia",-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/255950173/medium.png,https://www.inaturalist.org/taxa/1370666
17,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Marmosa,Marmosa murina,"Marmosa (Marmosa) murina (Linnaeus, 1758)","cuíca, marmosa",In/On,Sc,"Alagoas, Amapá, Amazonas, Bahia, Ceará, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Pará, Paraíba, Pernambuco, Piauí, Rondônia, Roraima, Tocantins","Amazônia, Caatinga, Cerrado, Mata Atlântica",-,LC,"Esta espécie está listada como de Menor Preocupação devido à sua ampla distribuição, presumida grande população, tolerância a algum grau de modificação do habitat, ocorrência em várias áreas protegidas e porque é improvável que esteja diminuindo na taxa necessária para se qualificar para a listagem em uma categoria ameaçada.",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/12948748/medium.jpg,https://www.inaturalist.org/taxa/42674
18,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Marmosa,Marmosa tyleriana,"Marmosa (Marmosa) tyleriana Tate, 1931",cuíca,In/On,Sc,Amazonas,Amazônia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sem Foto,https://www.inaturalist.org/taxa/42677
19,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Marmosa,Marmosa waterhousei,"Marmosa (Marmosa) waterhousei (Tomes, 1860)",cuíca,In/On,Sc,Amazonas,Amazônia,"Brasil, Caatinga/Cerrado",-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/292391532/medium.jpg,https://www.inaturalist.org/taxa/1370658
20,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Marmosa,Marmosa constantiae,"Marmosa (Micoureus) constantiae (Thomas, 1904)",cuíca,In/On,Sc,"Acre, Amazonas, Mato Grosso, Pará, Rondônia","Amazônia, Cerrado, Pantanal",-,LC,"Esta espécie está listada como Preocupação Menor, pois ocorre em várias áreas protegidas e não se suspeita que esteja em declínio rápido o suficiente para ser classificada. No entanto, numerosas populações podem estar ameaçadas, mas pesquisas adicionais são necessárias para determinar isso. A espécie ainda está razoavelmente distribuída, porém depende de um habitat altamente frágil no cinturão de neblina em regiões áridas; mudanças climáticas e de uso do solo podem rapidamente resultar em uma ameaça seria. Essa espécie deve ser reavaliada após investigação adicional.",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/487548332/medium.jpg,https://www.inaturalist.org/taxa/42613
21,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Marmosa,Marmosa demerarae,"Marmosa (Micoureus) demerarae (Thomas, 1905)",cuíca,In/On,Sc,"Amapá, Pará, Alagoas, Amazonas, Bahia, Ceará, Goiás, Maranhão, Mato Grosso, Paraíba, Pernambuco, Piauí, Rondônia, Roraima, Tocantins","Amazônia, Caatinga, Cerrado, Mata Atlântica",Brasil,LC,"Esta espécie está listada como de Menor Preocupação devido à sua ampla distribuição, presumida grande população, tolerância a algum grau de modificação do habitat, ocorrência em várias áreas protegidas e porque é improvável que esteja diminuindo na taxa necessária para se qualificar para a listagem em uma categoria ameaçada.",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/107993153/medium.jpeg,https://www.inaturalist.org/taxa/42599
22,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Marmosa,Marmosa paraguayana,"Marmosa (Micoureus) paraguayana Tate, 1931","cuíca, guaiquica-cinza",In/On,Sc,"Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo,",Mata Atlântica,Amazônia,LC,"Esta espécie está listada como de Menor Preocupação devido à sua ampla distribuição, ocorrência em várias áreas protegidas, tolerância a algum grau de modificação do habitat e porque é improvável que esteja em declínio próximo do ritmo necessário para se qualificar para a inclusão em uma categoria ameaçada.",-,-,-,-,-,-,DD,-,-,-,VU,-,https://inaturalist-open-data.s3.amazonaws.com/photos/29855574/medium.jpeg,https://www.inaturalist.org/taxa/552546
23,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Marmosa,Marmosa phaea,"Marmosa (Micoureus) phaea Thomas, 1899",cuíca,In/On,Sc,Amazonas,Amazônia,-,NT,"Anteriormente, essa espécie era avaliada como Vulnerável (Solari e Patterson 2015), pois sua distribuição geográfica era considerada muito mais restrita do que o atualmente conhecido, e estava associada a um único ecossistema (ou seja, florestas andinas da encosta oeste da Colômbia e do Equador)",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/66373652/medium.jpeg,https://www.inaturalist.org/taxa/446631
24,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Marmosa,Marmosa rapposa,"Marmosa (Micoureus) rapposa Thomas, 1899",cuíca,In/On,Sc,"Mato Grosso, Mato Grosso do Sul, Rondônia","Amazônia, Cerrado, Pantanal",-,-,-,-,DD,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/308260321/medium.jpeg,https://www.inaturalist.org/taxa/1370661
25,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Marmosa,Marmosa rutteri,"Marmosa (Micoureus) rutteri Thomas, 1924",cuíca,In/On,Sc,"Acre, Amazonas",Amazônia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/14154140/medium.jpeg,https://www.inaturalist.org/taxa/1370660
26,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Marmosa,Marmosa lepida,"Marmosa (Stegomarmosa) lepida (Thomas, 1888)","cuíca, marmosa",In/On,Sc,"Amapá, Amazonas, Mato Grosso, Pará",Amazônia,-,LC,"A espécie está listada como Preocupação Menor porque possui uma distribuição ampla, uma grande população global presumida, está presente em muitas áreas protegidas e não apresenta ameaças significativas.",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/189135357/medium.jpg,https://www.inaturalist.org/taxa/42675
27,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Monodelphis,Monodelphis americana,"Monodelphis (Microdelphys) americana (Müller, 1776)","catita-de-listras, catita, cuíca-de três-listras",In/On,Te,"Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Minas Gerais, Pará, Pernambuco, Rio de Janeiro, São Paulo, Sergipe","Cerrado, Mata Atlântica, Amazônia",Amazônia,LC,"Esta espécie está listada como de Menor Preocupação devido à sua ampla distribuição, presumida grande população, sua ocorrência em várias áreas protegidas e porque é improvável que esteja diminuindo em uma taxa próxima à necessária para se qualificar para a inclusão em uma categoria ameaçada.",-,-,-,-,-,-,DD,-,-,-,-,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/65191174/medium.jpg,https://www.inaturalist.org/taxa/852328
28,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Monodelphis,Monodelphis iheringi,"Monodelphis (Microdelphys) iheringi (Thomas, 1888)","catita, catita-de-listras, guaiquica-listrada",In/On,Te,"Espírito Santo, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo",Mata Atlântica,Brasil,DD,"Esta espécie é avaliada como Deficiente em Dados, devido aos problemas contínuos em sua taxonomia, bem como à ausência de informações recentes sobre sua extensão de ocorrência, status e requisitos ecológicos. Suspeita-se que a espécie esteja ameaçada, mas o grau de ameaça é impossível de medir sem mais informações sobre a adaptabilidade da espécie às mudanças de habitat e a área remanescente de ocupação.",-,-,-,-,VU,VU,DD,-,-,-,-,-,https://static.inaturalist.org/photos/50260100/medium.jpg,https://www.inaturalist.org/taxa/42565
29,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Monodelphis,Monodelphis scalops,"Monodelphis (Microdelphys) scalops (Thomas, 1888)","catita-de-listras, catita",In/On,Te,"Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo",Mata Atlântica,-,LC,"Esta espécie é listada como de Menor Preocupação devido à sua ampla distribuição, ocorrência em várias áreas protegidas e porque é improvável que esteja em declínio próximo do necessário para se qualificar para a lista de ameaças.",-,-,-,-,EN,-,DD,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/65104922/medium.jpg,https://www.inaturalist.org/taxa/852327
30,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Monodelphis,Monodelphis dimidiata,"Monodelphis (Monodelphiops) dimidiata (Wagner, 1847)","guaiquica-anã, catita",In/On,Te,"Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo","Mata Atlântica, Pampa",-,LC,"Esta espécie é listada como de Menor Preocupação devido à sua ampla distribuição, ocorrência em várias áreas protegidas, tolerância a algum grau de modificação do habitat e porque é improvável que esteja em declínio na taxa necessária para se qualificar para a inclusão em uma categoria ameaçada. Apesar disso, a espécie parece estar em declínio em alguns habitats ao longo de sua distribuição, e investigações adicionais são necessárias para avaliar se a espécie pode estar quase ameaçada. No entanto, a inferência do conhecimento atual sugere que a Preocupação Menor é mais apropriada neste momento.",-,-,-,-,-,-,DD,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/18099148/medium.jpg,https://www.inaturalist.org/taxa/42569
31,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Monodelphis,Monodelphis unistriata,"Monodelphis (Monodelphiops) unistriata (Wagner, 1842)",catita,In/On,Te,São Paulo,Mata Atlântica,"Brasil, Mata Atlântica",CR,"Esta espécie é considerada Criticamente Ameaçada (Possivelmente Extinta) devido à sua incerteza em sua distribuição, apenas dois exemplares registrados desde o século XIX, efeitos de inúmeras ameaças possíveis e falha em capturar/capturar a espécie ao longo do século XX. Apenas dois exemplares foram coletados com certeza (Pine et al. 2013). Mais informações são necessárias antes de avaliar essa espécie contra ameaças potenciais.",-,DD,-,-,-,RE,-,-,-,-,-,-,Sem Foto,https://www.inaturalist.org/taxa/42563
32,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Monodelphis,Monodelphis arlindoi,"Monodelphis (Monodelphis) arlindoi S. Pavan, Rossi & Schneider, 2012","catita, catita-de-cauda-curta",In/On,Te,"Amazonas, Pará, Roraima",Amazônia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/117346772/medium.jpg,https://www.inaturalist.org/taxa/1370656
33,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Monodelphis,Monodelphis brevicaudata,"Monodelphis (Monodelphis) brevicaudata (Erxleben, 1777)","catita, catita-de-cauda-curta",In/On,Te,"Amazonas, Roraima",Amazônia,"Brasil, Amazônia",LC,"Esta espécie é listada como de Menor Preocupação devido à sua ampla distribuição, ocorrência em várias áreas protegidas, tolerância a algum grau de modificação do habitat e porque é improvável que esteja em declínio na taxa necessária para se qualificar para a inclusão em uma categoria ameaçada.",-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/184994470/medium.jpeg,https://www.inaturalist.org/taxa/42575
34,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Monodelphis,Monodelphis domestica,"Monodelphis (Monodelphis) domestica (Wagner, 1842)","catita, catita-de-cauda-curta, cuíca-do-rabo-curto",In/On,Te,"Alagoas, Bahia, Ceará, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Paraíba, Pernambuco, Piauí, Tocantins","Caatinga, Cerrado, Mata Atlântica, Pantanal",Amazônia,LC,"Esta espécie está listada como Preocupação Menor devido à sua ampla distribuição, presumida grande população, ocorrência em várias áreas protegidas, tolerância a algum grau de modificação do habitat e porque é improvável que esteja diminuindo em ritmo próximo ao necessário para se qualificar para a inclusão em uma categoria ameaçada.",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/84404544/medium.jpg,https://www.inaturalist.org/taxa/42578
35,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Monodelphis,Monodelphis glirina,"Monodelphis (Monodelphis) glirina (Wagner, 1842)","catita, catita-de-cauda-curta",In/On,Te,"Acre, Amazonas, Mato Grosso, Pará, Rondônia",Amazônia,-,LC,"Esta espécie é listada como Preocupação Menor devido à sua ampla distribuição, sua provável ocorrência em várias áreas protegidas e porque é improvável que esteja em declínio na taxa necessária para se qualificar para a inclusão em uma categoria ameaçada.",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/250834475/medium.jpg,https://www.inaturalist.org/taxa/852325
36,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Monodelphis,Monodelphis touan,"Monodelphis (Monodelphis) touan (Shaw, 1800)","catita, catita-de-cauda-curta",In/On,Te,"Amapá, Pará",Amazônia,"Brasil, Amazônia",-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://static.inaturalist.org/photos/161678999/medium.jpg,https://www.inaturalist.org/taxa/1288290
37,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Monodelphis,Monodelphis vossi,"Monodelphis (Monodelphis) vossi S. Pavan, 2019","catita, catita-de-cauda-curta",In/On,Te,Roraima,Amazônia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sem Foto,https://www.inaturalist.org/taxa/1370653
38,Pequenos mamíferos,Mammalia,Didelphimorphia,Didelphidae,Didelphinae,Marmosini,Monodelphis,Monodelphis kunsi,"Monodelphis (Mygalodelphys) kunsi Pine, 1975",catita,In/On,Te,"Distrito Federal, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Tocantins",Cerrado,"Brasil, Caatinga/Cerrado",LC,"Esta espécie é listada como de Menor Preocupação devido à sua ampla distribuição, presumida grande população, ocorrência em várias áreas protegidas, tolerância a algum grau de modificação do habitat e porque é improvável que esteja em declínio próximo à taxa necessária para se qualificar para ser incluída em uma categoria ameaçada. Â",-,-,-,-,-,-,-,-,-,-,-,-,https://inaturalist-open-data.s3.amazonaws.com/photos/202599474/medium.jpg,https://www.inaturalist.org/taxa/42564
